Indicator Name,Value
"Outward Debt Instruments Assets Positions (Gross), Derived",32750000
"Outward Debt Instruments Positions (Net), Derived",-2590000
"Outward Debt Instruments Positions (Net), Derived",-1900000
"Outward Debt Instruments Positions (Net), Derived",-11110000
"Outward Debt Instruments Positions (Net), Derived",-11331237.6153074
"Outward Debt Instruments Positions (Net), Derived",12690000
"Outward Debt Instruments Positions (Net), Derived",-45980000
"Outward Debt Instruments Positions (Net), Derived",1566506.82489362
"Outward Direct Investment Assets Positions (Gross) with Fellow Enterprises, Derived",10000
"Outward Direct Investment Assets Positions (Gross) with Fellow Enterprises, Derived",130000
"Outward Direct Investment Assets Positions (Gross) with Fellow Enterprises, Derived",1830000
"Outward Direct Investment Assets Positions (Gross) with Fellow Enterprises, Derived",13350000
"Outward Direct Investment Positions (Net) with Fellow Enterprises, Derived",-14330000
"Outward Direct Investment Positions (Net) with Fellow Enterprises, Derived",-12250000
"Outward Direct Investment Positions (Net) with Fellow Enterprises, Derived",-14560000
"Outward Direct Investment Positions (Net) with Fellow Enterprises, Derived",-6710000
Outward Direct Investment Positions,-329000000
Outward Direct Investment Positions,-199000000
Outward Direct Investment Positions,219000000
Outward Direct Investment Positions,715000000
Outward Direct Investment Positions,857000000
Outward Direct Investment Positions,529000000
Outward Direct Investment Positions,398000000
Outward Direct Investment Positions,161000000
Outward Direct Investment Positions,199000000
Outward Direct Investment Positions,442000000
Outward Direct Investment Positions,519000000
Outward Direct Investment Positions,571000000
"Outward Equity Positions (Net), Derived",71400000
"Outward Equity Positions (Net), Derived",115100000
"Outward Equity Positions (Net), Derived",67700000
"Outward Equity Positions (Net), Derived",71500000
"Outward Equity Positions (Net), Derived",74141147.6228248
"Outward Equity Positions (Net), Derived",388960000
"Outward Equity Positions (Net), Derived",254770000
"Outward Equity Positions (Net), Derived",264820000
"Outward Equity Positions (Net), Derived",270093460.421756
"Outward Equity Positions (Net), Derived",144670000
"Outward Equity Positions (Net), Derived",389200000
"Outward Equity Positions (Net), Derived",516200728.754145
"Inward Equity Positions (Net), Derived",1140000
"Inward Equity Positions (Net), Derived",760000
